metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank
1-Pentadecene,0.0029677419354838,41.0,6.226542919307403,-13.644830556277933,0.1176470588235294,6.226542919307403,40.0,0.1666169005673335,0.7782809486022882,60.5,47.166666666666664,31
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.0023191489361702,70.5,8.045098946896104,-10.101013046327523,0.1176470588235294,8.045098946896104,12.0,0.1666169005673335,0.7782809486022882,60.5,47.666666666666664,32
2-Tetradecanone,0.0038030199039121,21.5,5.701682398025982,-12.53501305576624,0.1176470588235294,5.701682398025982,65.0,0.1666169005673335,0.7782809486022882,60.5,49.0,33
1-Pentadecene,0.0026382978723404,47.0,6.226542919307403,-13.644830556277933,0.1176470588235294,6.226542919307403,40.0,0.1666169005673335,0.7782809486022882,60.5,49.166666666666664,34
1-Pentadecene,0.0029677419354838,41.0,6.103199454018753,-14.581525824640266,0.1176470588235294,6.103199454018753,47.0,0.1666169005673335,0.7782809486022882,60.5,49.5,35
Phenylethyl Alcohol,0.0028030199039121,43.5,6.18656601494466,-18.29975028549335,0.1176470588235294,6.18656601494466,45.0,0.1666169005673335,0.7782809486022882,60.5,49.666666666666664,36
2-Tetradecanone,0.0038030199039121,21.5,5.6889143022343145,-12.717802158931253,0.1176470588235294,5.6889143022343145,67.0,0.1666169005673335,0.7782809486022882,60.5,49.666666666666664,37
Phenylethyl Alcohol,0.0028030199039121,43.5,6.178231267527315,-18.29772553342964,0.1176470588235294,6.178231267527315,46.0,0.1666169005673335,0.7782809486022882,60.5,50.0,38
"2,3-Pentanedione",0.0045844155844155,10.0,5.400061630237473,-0.8947050743139252,0.1176470588235294,5.400061630237473,80.0,0.1666169005673335,0.7782809486022882,60.5,50.166666666666664,39
2-Tetradecanone,0.0038030199039121,21.5,5.612654304074711,-12.45218493333538,0.1176470588235294,5.612654304074711,71.0,0.1666169005673335,0.7782809486022882,60.5,51.0,40
"Butanal, 2-methyl-",0.002,91.5,-24.950140365223326,-0.0571045332490057,0.1176470588235294,24.950140365223326,2.0,0.1666169005673335,0.7782809486022882,60.5,51.333333333333336,41
1-Pentadecene,0.0026382978723404,47.0,6.103199454018753,-14.581525824640266,0.1176470588235294,6.103199454018753,47.0,0.1666169005673335,0.7782809486022882,60.5,51.5,42
p-Cresol,0.0023191489361702,70.5,6.6917305972969245,-42.2775732679866,0.1176470588235294,6.6917305972969245,24.0,0.1666169005673335,0.7782809486022882,60.5,51.666666666666664,43
2-Tetradecanone,0.0038030199039121,21.5,5.561892973921277,-11.708521880461582,0.1176470588235294,5.561892973921277,74.0,0.1666169005673335,0.7782809486022882,60.5,52.0,44
2-Tetradecanone,0.0033191489361702,32.0,5.701682398025982,-12.53501305576624,0.1176470588235294,5.701682398025982,65.0,0.1666169005673335,0.7782809486022882,60.5,52.5,45
"4-Methylcatechol, 2TMS derivative",0.0024838709677419,53.5,6.204396385378928,-12.63129149930976,0.1176470588235294,6.204396385378928,44.0,0.1666169005673335,0.7782809486022882,60.5,52.666666666666664,46
1-Pentadecene,0.0033191489361702,32.0,5.701263722116593,-14.457929699445122,0.1176470588235294,5.701263722116593,66.0,0.1666169005673335,0.7782809486022882,60.5,52.833333333333336,47
2-Tetradecanone,0.0033191489361702,32.0,5.6889143022343145,-12.717802158931253,0.1176470588235294,5.6889143022343145,67.0,0.1666169005673335,0.7782809486022882,60.5,53.166666666666664,48
Erucin,0.0023191489361702,70.5,6.416817418348147,-12.539802198511216,0.1176470588235294,6.416817418348147,29.0,0.1666169005673335,0.7782809486022882,60.5,53.333333333333336,49
α-Cubebene,0.004,18.0,5.349432491431068,-5.167284730395697,0.1176470588235294,5.349432491431068,83.0,0.1666169005673335,0.7782809486022882,60.5,53.833333333333336,50
"Benzeneacetaldehyde, α-ethylidene-",0.002,91.5,8.224314292692835,-2.9878963177821785,0.1176470588235294,8.224314292692835,11.0,0.1666169005673335,0.7782809486022882,60.5,54.333333333333336,51
2-Tridecanol,0.0023191489361702,70.5,6.34185204206108,-13.014590951676627,0.1176470588235294,6.34185204206108,32.0,0.1666169005673335,0.7782809486022882,60.5,54.333333333333336,52
2-Tetradecanone,0.0033191489361702,32.0,5.612654304074711,-12.45218493333538,0.1176470588235294,5.612654304074711,71.0,0.1666169005673335,0.7782809486022882,60.5,54.5,53
Caryophyllene oxide,0.002,91.5,7.806927322051317,-13.60783829681762,0.1176470588235294,7.806927322051317,14.0,0.1666169005673335,0.7782809486022882,60.5,55.333333333333336,54
2-Tetradecanone,0.0033191489361702,32.0,5.561892973921277,-11.708521880461582,0.1176470588235294,5.561892973921277,74.0,0.1666169005673335,0.7782809486022882,60.5,55.5,55
2-Tetradecanone,0.0038030199039121,21.5,5.247135474015647,-7.65434024839978,0.1176470588235294,5.247135474015647,85.0,0.1666169005673335,0.7782809486022882,60.5,55.666666666666664,56
1-Pentadecene,0.0029677419354838,41.0,5.701263722116593,-14.457929699445122,0.1176470588235294,5.701263722116593,66.0,0.1666169005673335,0.7782809486022882,60.5,55.833333333333336,57
(Z)-1-Methyl-4-(6-methylhept-5-en-2-ylidene)cyclohex-1-ene,0.0023191489361702,70.5,6.285321666014781,-16.009816808019355,0.1176470588235294,6.285321666014781,37.0,0.1666169005673335,0.7782809486022882,60.5,56.0,58
1-Pentadecene,0.0033191489361702,32.0,5.498330197610489,-7.924872012249568,0.1176470588235294,5.498330197610489,76.0,0.1666169005673335,0.7782809486022882,60.5,56.166666666666664,59
Pentadecane,0.0043191489361702,13.0,5.047512885175525,-8.515621390899042,0.1176470588235294,5.047512885175525,95.0,0.1666169005673335,0.7782809486022882,60.5,56.166666666666664,60
"9-Octadecene, (E)-",0.0024838709677419,53.5,5.855906874177084,-12.51101123049246,0.1176470588235294,5.855906874177084,55.0,0.1666169005673335,0.7782809486022882,60.5,56.333333333333336,61
"Butanal, 3-methyl-",0.0018823529411764,100.5,8.661633520137054,0.1444515682846584,0.1176470588235294,8.661633520137054,8.0,0.1666169005673335,0.7782809486022882,60.5,56.333333333333336,62
"Butanal, 2-methyl-",0.0014838709677419,107.5,-24.950140365223326,-0.0571045332490057,0.1176470588235294,24.950140365223326,2.0,0.1666169005673335,0.7782809486022882,60.5,56.666666666666664,63
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0033191489361702,32.0,5.487084194860474,-14.736876467702842,0.1176470588235294,5.487084194860474,78.0,0.1666169005673335,0.7782809486022882,60.5,56.833333333333336,64
