compound_name,matched_biomarker,match_score,match_method,Condiciones,Evidencia,Origen_probable,Volatilidad,Matriz,Metodo,Vinculo Microbio.,Confianza_origen,InChIKey,CID,Flag_contaminante,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,594,0.0,0.0,0.0,0.0,44.84324211073012,179.74170813145818,91.45239713661688,182.9485620521488,0.0,218.7057436384829,55380.99425424809,134.53697000943905,238.6631749885317,82.29539640005952,28.425090739521263,226.0815428734348,175.9126914067817
Isobutylene epoxide,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.63065,937,0.0,0.0,184.9559022060438,0.0,47.16747103395191,169.70480024786423,0.0,175.74343901718115,0.0,222.37618173215787,55277.75345782931,141.93219801048363,252.89628653918197,82.98180628785646,48.92457017246001,224.05557142544544,184.66290816972275
"1,3-Dioxolane",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,1.6557666666666668,765,1023.6314743021634,937.70565777589,341.7955722646497,1245.17957023567,1061.4034232524025,1088.2145866996243,662.1759159814903,832.8135506893665,0.0,765.9528147766824,185464.5511182052,892.5396761897209,1037.0015949246106,886.9261303266894,1116.0232591522754,1021.8439527649842,856.8915648247748
"1,3-Dioxolane, 2-ethyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,1.6557666666666668,820,638.75685185938,495.43049579048727,273.45068361995413,807.6369466369518,704.4629825882859,730.9724653609392,559.0085023311839,488.7035185006297,0.0,404.53973787884775,184823.4308980925,558.7030279053089,726.7660195211838,591.7536231408504,784.3732015587058,716.1202522839993,534.8551140326787
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,919,0.0,31.768166094953813,39089.96569942612,0.0,56593.03454480037,74111.11548240721,65396.940025280295,39820.767240116336,0.0,6960.723490199272,5700.443874663718,59720.73763901886,45570.29481148301,60460.02028431974,53075.24876164639,62423.32617388774,79088.88758192377
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,926,0.0,0.0,38993.65696648138,0.0,55955.458011122864,73785.55673011484,65386.9942359761,38989.638111348126,0.0,6052.180562702111,12775.823979657152,59221.90871636496,45252.88177567018,59625.93987076729,53207.92466907114,61879.47723727663,78626.41937361723
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Good,2.0792166666666665,863,73267.19276049318,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.63734229365,36781.60740665462,0.0,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,919,0.0,31.768166094953813,39089.96569942612,0.0,56593.03454480037,74111.11548240721,65396.940025280295,39820.767240116336,0.0,6960.723490199272,5700.443874663718,59720.73763901886,45570.29481148301,60460.02028431974,53075.24876164639,62423.32617388774,79088.88758192377
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,926,0.0,0.0,38993.65696648138,0.0,55955.458011122864,73785.55673011484,65386.9942359761,38989.638111348126,0.0,6052.180562702111,12775.823979657152,59221.90871636496,45252.88177567018,59625.93987076729,53207.92466907114,61879.47723727663,78626.41937361723
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Good,2.0792166666666665,863,73267.19276049318,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.63734229365,36781.60740665462,0.0,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254
