metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
2-Butanone,-0.5864632151953213,-32.751366485790776,5.803370672932568,-14.827728840400077,0.11764705882352941
"Propanal, 2-methyl-",-0.20034307367607404,-11.177429770778652,5.801972044795342,-14.468397829045418,0.11764705882352941
"4,8,12-Tetradecatrien-1-ol, 5,9,13-trimethyl-",-0.07374932342090622,-3.9023338608838993,5.725563606668933,-6.4408572535303845,0.11764705882352941
2-Furancarbonyl chloride,-0.07246746189536121,-3.817809039353895,5.719267786402393,-3.0696341512948324,0.1527901179143042
2-Tetradecanone,-0.14395863989441654,-7.492300012861563,5.701682398025982,-12.53501305576624,0.11764705882352941
1-Pentadecene,-0.17372712259933118,-9.038971513208576,5.701263722116593,-14.457929699445122,0.11764705882352941
2-Tetradecanone,-0.13754650189953824,-7.095506373190302,5.6889143022343145,-12.717802158931253,0.11764705882352941
Dodecane,-0.14393619696819734,-7.250306637254591,5.6545406714525,-14.346869249250927,0.11764705882352941
2-Hexadecanone,-0.12119177661072932,-5.993493773541769,5.62803353268266,-11.414193401760485,0.11764705882352941
2-Dodecanone,-0.1174570903794368,-5.77418168423664,5.619410804236021,-11.000814899037048,0.11764705882352941
2-Tetradecanone,-0.15336018366143223,-7.503949765195287,5.612654304074711,-12.45218493333538,0.11764705882352941
2-Hexadecanone,-0.12907239071369725,-6.241250335010207,5.595582751497163,-10.867654875016221,0.11764705882352941
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",-0.11175483351791454,-5.282736780303466,5.5628764040355465,-9.48847477070928,0.11764705882352941
2-Tetradecanone,-0.1390289204277278,-6.567525462048124,5.561892973921277,-11.708521880461582,0.11764705882352941
"5-Hepten-2-one, 6-methyl-",-0.1369397998038221,-6.455596716663934,5.5589367525494655,-9.452047711322942,0.11764705882352941
1-Pentadecene,-0.09750902313224177,-4.407650160038241,5.498330197610489,-7.924872012249568,0.11764705882352941
"Sulfurous acid, di(2-ethylhexyl) ester",-0.2266809415890624,-10.17658526808469,5.488446645055244,-13.556274776968205,0.11764705882352941
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",-0.15222744934043156,-6.827628761181487,5.487084194860474,-14.736876467702842,0.11764705882352941
"1-Octanol, 2-butyl-",-0.1561839881455816,-6.93432269006219,5.472436520967099,-10.420072374034849,0.11764705882352941
"2,3-Pentanedione",-0.023550650167343597,-0.994451054038175,5.400061630237473,-0.8947050743139252,0.11764705882352941
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",-0.16466319643556956,-6.847098285328645,5.377902687887497,-14.749258947664488,0.11764705882352941
Indole,-0.11090992846113153,-4.586222798756607,5.369846031548132,-8.63606451196919,0.11764705882352941
α-Cubebene,-0.1223314760065265,-4.987441928991938,5.349432491431068,-5.167284730395697,0.11764705882352941
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",-0.6140708104892441,-23.52213108651171,5.259469938175842,-8.222944312673492,0.11764705882352941
2-Tetradecanone,-0.11262004387689126,-4.2772127962447,5.247135474015647,-7.65434024839978,0.11764705882352941
