compound_name,hit_match_factor,match_quality,retention_time,cluster,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Propane, 2-methoxy-2-methyl-",886,Good,2.0864,1,15.127014273107312,15.105803271881658,12.321535664867511,17.274408448658374,11.530023155984807,12.361213718667187,9.851190064520924,10.61118385768374,9.988971492301689,9.281473427087429,11.28019257136804,11.55719801064634,12.140361991620958,13.193961352614734,13.394329887242831,12.8598491877107,10.265649824934924
2-Butanone,877,Good,2.0864,0,16.167264291720258,16.06713959365493,16.808791153484364,16.247457632238515,16.10751653349968,16.114392868521037,15.866946803472754,15.70359426993363,0.0,14.606287465155829,12.11751941231323,16.262274916284873,16.41302742258119,16.412617617861113,15.770462871114546,15.844988207873593,16.595108703767316
"2-Butenal, (Z)-",786,Fair,2.247883333333333,1,10.704320843882,11.164155614209202,11.316508538548948,11.918685032381651,10.442314873045524,10.765735083810895,10.472131419570234,10.691856492600836,0.0,9.382168965321313,16.044430553043163,10.548672194029608,11.11515246532416,11.897158149266229,11.498701830313191,11.372524520367095,10.379632558091888
Tolycaine,702,Fair,2.2514833333333333,1,15.623681130800527,15.68021798816369,0.0,15.985722261781705,10.465529164763929,9.974486352620822,9.977955381546373,10.088484977756597,9.22184476236506,8.760756337704368,0.0,10.860345374180628,11.12368372799608,11.161433576227326,11.472916551922054,10.87375999172558,10.998747863930154
n-Hexane,812,Good,2.2766,1,15.533580235035314,15.595839037315478,10.396031874380236,17.06783518401888,9.85935065857486,10.33423645853004,10.495436779485322,8.476067684204846,8.077502128389686,7.752194255326641,14.534861097126749,10.753271078005676,11.491344979139638,12.310994845639597,11.964208907078149,11.693500571272306,10.392597880764146
2-Butanone,820,Good,2.283783333333333,1,16.99949206757246,16.20464691217244,11.588079486010749,16.52993861566899,11.231482637111668,10.74180375059052,11.545072008330958,10.35212455851317,0.0,0.0,9.94015518459448,11.32608837027781,11.709877385888706,11.953547082401087,11.587939243294072,10.343518712970642,12.187313607020434
2-Butanone,790,Fair,2.283783333333333,1,17.057067664451388,16.27375966875871,13.012902349033128,16.629052402424385,12.008665482679143,11.79634001157248,12.279051505992788,11.597438117491365,6.404119447073374,9.874691232030631,0.0,12.19613740248493,12.57325985468836,12.729456092001326,12.360547082913222,11.733457913468364,12.889702901170589
"Butanal, 3-methyl-",808,Good,2.29095,1,11.641816472863674,11.447777662021004,11.65520965296424,13.19270463327511,9.8260700303095,10.509080624073915,9.850244662649304,8.160583126860216,10.35937760405838,0.0,17.8194799292647,8.481941591463485,9.025836444838143,11.086406563355384,7.074733529192245,9.296603145014776,8.555542397849605
"Butanal, 3-methyl-",829,Good,2.29095,1,12.224145841989388,0.0,0.0,0.0,10.7246914991094,11.219537265747752,9.70680358475247,10.105942802926766,11.613893382407609,8.548424317785468,17.648832690831526,10.72908622411876,10.62037882178243,10.961392003635432,0.0,11.29323313127884,9.30410153106788
"Methylamine, N,N-dimethyl-",812,Good,2.3699,1,14.575778077743626,15.25378129782196,15.453986698325313,15.269694131362028,12.726263213303996,12.23475856362945,15.738744543724517,0.0,9.887942779189675,0.0,16.97951037328795,10.233837470663136,11.989897359686184,12.84633410863994,11.62893133816977,11.577231110224696,16.80064198945268
"Butanal, 2-methyl-",936,Excellent,2.384266666666667,1,13.537847894527726,13.14725725400283,12.629310343792522,14.508563260257311,13.094496459048322,13.434207394576156,13.662115725291406,13.240968434543165,11.126995470361871,10.65431883792808,18.26599652300321,10.911302961666,12.832849130016314,12.707322578388627,13.037727775090922,12.32369251213931,11.67671737594842
"Butanal, 2-methyl-",909,Excellent,2.384266666666667,1,13.240664775970904,12.865216739925255,12.047869177932638,14.090300841009435,9.437084438405895,10.327906444466116,10.350793238882725,9.30122235229292,10.272418032819896,9.016275028413917,18.32024802417396,10.887942265707975,11.247411239729049,11.989547772009365,11.577393535086546,12.015956093695308,11.360829021638992
"Butanal, 2-methyl-",935,Excellent,2.384266666666667,1,13.499744495340083,13.34737328595805,12.93121303744873,14.782842117421636,13.26256275911983,13.666538542778586,12.790627881715452,13.46943287739523,9.367917066099148,9.190311545668328,18.35619614987261,10.307732070163562,11.48308687800798,13.03355988630135,12.436459685674398,12.41474047782312,12.499225771288268
"Butanal, 2-methyl-",858,Good,2.384266666666667,1,15.330036015070696,15.342404281720132,11.71920670832348,16.897481921105637,9.8389664193923,11.239420083797189,8.91936062895404,10.438668216285212,8.664632701060112,9.917560881556067,18.06248171265834,10.802608970057024,11.178060352852338,12.441774960563457,12.145524849161564,12.468861117265464,9.326734032190013
"Guanidine, methyl-",806,Poor/No match,2.506266666666667,1,15.191946783767026,14.478070924841225,13.112120663925449,15.055416962855936,12.738635766744064,12.853250358651728,12.178939022611692,12.56155452160788,15.292186177192104,12.14624547794511,11.912686632158003,13.06676185459011,13.133845205907193,13.100321064529613,13.23728540360389,13.394541047084626,12.70516322957276
