metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value,p_adjusted,significant
"Propane, 2-methoxy-2-methyl-",1.0906198573187647,-0.1923653626737015,,1.8845370615975041,0.03434667715250652,0.06103645175509121,False
2-Butanone,0.4374570252754284,-0.21990960479430838,,1.123179473690337,0.010409879206759102,0.035508779449592756,True
Tolycaine,0.8105330648844369,-0.24717522067026473,,0.18389237139957845,0.22722046249911806,0.2797776155014507,False
n-Hexane,1.9704231584807892,-0.024564173821485742,,1.5583157987393734,0.06392786120670756,0.10076764563091191,False
2-Butanone,2.363815423823862,-0.8007928634779974,,2.3256658214589563,0.010409879206759102,0.035508779449592756,True
2-Butanone,2.9960294332244652,-0.20317541748609588,,2.3111253820218245,0.010409879206759102,0.035508779449592756,True
"Butanal, 3-methyl-",0.7378834180846328,-0.5115762130777287,,5.144533483366927,0.012619651968786677,0.035508779449592756,True
"Methylamine, N,N-dimethyl-",0.6532352048487918,-0.31106587580686834,,10.655062437322202,0.08837134500476451,0.13184815645095882,False
"Butanal, 2-methyl-",0.37641720940912143,-0.5441194077071987,,1.485876571839628,0.010409879206759102,0.035508779449592756,True
"Butanal, 2-methyl-",0.9885004070081849,-0.3137946557409572,,3.05058556763355,0.010409879206759102,0.035508779449592756,True
"Butanal, 2-methyl-",0.6723099520590745,-0.7800648681344672,,2.2145719580176473,0.010409879206759102,0.035508779449592756,True
"Butanal, 2-methyl-",1.4043279178240549,-0.161303185120357,,2.1005775286329036,0.010409879206759102,0.035508779449592756,True
"Guanidine, methyl-",1.9714411093513333,-0.3551350437836217,,1.949533346933642,0.03434667715250652,0.06103645175509121,False
"Furan, 2,3-dihydro-",-0.6418324416958824,0.12946728824342588,,-6.992907088012294,0.05420403103297351,0.08741574946936191,False
"2-Butenal, (E)-",-0.5911017284381708,0.08925337278539311,,-7.351835159144804,0.012619651968786677,0.035508779449592756,True
"2-Butenal, (E)-",-0.9995012862888802,0.07728273294507902,,-3.1286580361464047,0.012619651968786677,0.035508779449592756,True
"Butanal, 3-methyl-",-0.37207500604679933,0.2783257235286073,,-26.694889749877095,0.012619651968786677,0.035508779449592756,True
"Butanal, 3-methyl-",-0.07671397545830945,0.32873919591910383,,-8.653348084972873,0.012619651968786677,0.035508779449592756,True
"Butanal, 3-methyl-",-0.1554295023434641,0.16778169982074168,,-3.1076915471349786,0.012619651968786677,0.035508779449592756,True
"Propane, 1,3-dimethoxy-",0.7833021289977926,-0.38562304936864583,,4.569514415981118,0.012619651968786677,0.035508779449592756,True
"Butanal, 3-methyl-",-0.634511896085379,0.24479604713962808,,-25.683144306604028,0.012619651968786677,0.035508779449592756,True
"Butanal, 2-methyl-",-0.6635012120594492,0.2657500913915817,,-5.0955119788884815,0.010409879206759102,0.035508779449592756,True
"Butanal, 3-methyl-",0.8213023119449896,-0.044290036659629606,,16.35269561725516,0.012619651968786677,0.035508779449592756,True
"Butanal, 2-methyl-",-0.4839142452451102,0.3108367036781363,,-13.042182199624216,0.010409879206759102,0.035508779449592756,True
"Butanal, 2-methyl-",-0.4523679841935744,0.35068108611404314,,-3.392698390962201,0.010409879206759102,0.035508779449592756,True
"Butanal, 2-methyl-",-0.76873978320572,0.2494170227649028,,-0.8784789756601237,0.010409879206759102,0.035508779449592756,True
"Butanal, 3-methyl-",0.04721845288586082,-0.27666544231931545,,0.6572910096354184,0.012619651968786677,0.035508779449592756,True
"Butanal, 2-methyl-",-0.6135213042938108,0.27144214109955433,,-2.9664992210704155,0.010409879206759102,0.035508779449592756,True
2-Pentanone,-0.5293495673380718,0.06502389790053302,,-1.8422265136014495,0.0721686166513333,0.11186135580956662,False
2-Pentanone,0.662972203272143,-0.05825004626208086,,10.140062923573863,0.0721686166513333,0.11186135580956662,False
2-Pentanone,0.7986965465976827,-0.02579565818942383,,16.08164838366456,0.0721686166513333,0.11186135580956662,False
2-Pentanone,0.6353273665339852,-0.002969293367395376,,3.393889689679787,0.0721686166513333,0.11186135580956662,False
"2,3-Pentanedione",0.03852183511300015,-0.16654551448427993,,0.9770899491435556,0.11191674861732909,0.16219135987137773,False
"2,3-Pentanedione",-0.4006521503360904,0.3926630509999507,,-1.69369570948163,0.11191674861732909,0.16219135987137773,False
"2,3-Pentanedione",-0.4772269341521001,0.41489822216691474,,-1.5569291535006995,0.11191674861732909,0.16219135987137773,False
"2,3-Pentanedione",-0.7697149659561815,0.2322878647955533,,-1.4305303731831915,0.11191674861732909,0.16219135987137773,False
"2,3-Pentanedione",0.059203790768701706,-0.12352911332107167,,0.807189832110787,0.11191674861732909,0.16219135987137773,False
"2-Propanethiol, 2-methyl-",-0.2582589783624766,0.11734672557794541,,-1.8275011615901227,0.12841346829037084,0.18186475965996682,False
"Ethanol, 2-nitro-, propionate (ester)",-1.377259664142234,0.06571791833233365,,-0.5383434641388745,0.7207232912755404,0.739271317153955,False
"Butanal, 2-methyl-",0.5951080510467841,-0.23492888693984199,,6.22980555825668,0.010409879206759102,0.035508779449592756,True
"Disulfide, dimethyl",-0.9656630421772364,0.7571816004901173,,-3.688065030966352,0.052209020108926196,0.08568421535523771,False
"Disulfide, dimethyl",-0.3401536475320581,0.10540071693873294,,-0.5410898131122266,0.052209020108926196,0.08568421535523771,False
"Disulfide, dimethyl",-0.3921059699301671,0.2902426744364853,,-1.1689872115232902,0.052209020108926196,0.08568421535523771,False
"Disulfide, dimethyl",-0.13734728290205356,0.5479023526232504,,-8.732790531454652,0.052209020108926196,0.08568421535523771,False
"Disulfide, dimethyl",0.3783593167248314,-0.030861668729067215,,1.0390868390330261,0.052209020108926196,0.08568421535523771,False
Toluene,-0.05528403040257692,0.1626720307433339,,-4.483546600546941,0.1580974240189442,0.21308783237335957,False
"1-Penten-3-one, 2-methyl-",-1.347400621735382,0.3280993543322181,,-1.910680302935689,0.016044659139821938,0.035508779449592756,True
Toluene,-0.6796813383242573,0.13943307983348247,,-0.5231779073032955,0.1580974240189442,0.21308783237335957,False
Toluene,-0.31479225097924013,0.28915884352099336,,-1.2367203956348691,0.1580974240189442,0.21308783237335957,False
