compound_name,hit_match_factor,match_quality,retention_time,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",824,Poor/No match,13.279366666666666,-5.83849381872516,0.0139718814003753,-5.739829781091725,1.543527337936556,2.879029349817576,0.6189302871461433,0.01623696845807774,0.0,-23.52213108651171,-6.336053422260483,-0.44765143110784006,0.4160712046021267,0.5523485688921599,-0.09603380456514422,-0.369803245208911,3.3202445166413397,-0.35762757976299653
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",833,Good,13.279366666666666,-5.048661851522998,-0.05560198904114257,-5.236558726318783,1.3024119002649328,2.456160466797657,0.46403962578902347,0.054097962743415974,0.1259733740381284,-40.021282082981195,-5.033971517507087,-0.6500805099574077,0.3473823501102875,0.3499194900425922,0.0,-0.3161968808073431,3.057168139917635,-0.44198120461647966
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",822,Good,13.279366666666666,-5.023783329483286,-0.05974472324103438,-5.020877854153795,1.2689206342570576,2.483933274141134,0.5362681082085791,0.12487281131622001,0.26127324784413586,-40.448250479229706,-4.925711251879579,-0.5882965394170471,0.41170346058295293,0.34995193834291,0.0,-0.2516581994174874,3.056937454122697,-0.45692851650422933
Phenol,943,Excellent,13.6777,-0.42227583592494,-1.2075136854234834,-0.6342192504448518,-0.429367554865916,0.5285070544313127,0.0,1.1853856089724797,0.57772416407506,-14.092003851108474,0.18953517288818864,-0.12389918857574589,0.6879403576658097,1.3571565901893299,-0.3494473060717697,0.9853713644637573,0.5427880724632058,-0.022394470776850084
Phenol,942,Excellent,13.6777,-2.732632009441675,-1.3467767313707892,-4.288512912417396,-0.4187969366086288,0.5263862853567827,0.0,1.1623288671408396,0.5812030633913712,-13.599550135772187,0.1974959337907696,-0.14713707996526312,0.6849696407403346,1.344821428109406,-0.3829095963028083,0.9628725255639777,0.5373942403480062,-0.0199689609967317
Phenol,955,Excellent,13.720766666666666,0.8054438787194338,-0.25001850304075124,0.55629557470462,-1.4560885551861424,0.025044899169051105,-0.44370442529538,1.023220466479069,0.11400196133969324,-11.63887094599382,-0.1332445882266652,0.054267896675657526,0.0,0.9551168720893197,-1.1981643022149142,0.9199919977642367,-0.22138342993368926,-0.8684982216931897
Phenol,944,Excellent,13.72795,0.7684023973666327,-1.1540770326345131,0.6149635614261171,-1.6007302871757119,0.1015608836956241,-0.3668656942987379,1.1270381350515066,0.0,-15.301399943477776,-0.3850364385738829,-0.15372179871233316,0.2628960678158415,1.0146219285940665,-0.35753334151582855,0.9292416792111963,0.1995322255663361,-0.48630081987721424
"5-Hepten-2-one, 6-methyl-",747,Fair,13.954033333333332,-1.9777219700569453,-0.8734443182866073,-1.915222819359021,-1.1203698701340443,0.37944933944298354,0.12655568171339268,-0.026555296114081837,0.0,-2.8664819666521417,0.10196020084874853,0.051490898523862655,0.2517007834887944,-0.029138169809518003,0.15129193488660214,0.153349521647908,0.044261796992939986,-0.551814567860779
"5-Hepten-2-one, 6-methyl-",712,Fair,13.954033333333332,-1.5914614099789368,-1.3377344482991513,-0.9593216768941767,-0.7231018085305856,0.9080803075281105,0.2398590815956002,-0.17271534943550232,0.27689819146941436,-6.455596716663934,0.15727911213129475,0.0,0.5661992468151116,-0.14577212432856132,0.37438423868347664,0.3128265260137223,0.16020158480962954,-0.2566582684405996
Octanal,877,Good,14.732766666666668,0.5842303355700558,-0.43506389735657963,-1.098379854489449,-10.292826960038772,0.2631081935065232,0.5231612498650483,-0.3902018819245776,3.918272996933416,-2.826756242283142,0.0,-0.7751658675731259,-0.4768387501349517,-0.3219097592282094,0.27064408566324805,3.631627068558667,0.8328168192396171,0.47412660488881025
